"Study","Population / Platform","ML Technique (Intervention)","Comparator","Primary Outcome","Benchmark / Dataset","Metrics & Results","Study Design","Limitations"
"R-23","2D mesh NoC","DQN / RL","Step-by-step (separate) routing + wavelength assignment baseline","Multi-objective: OSNR, load balancing, waiting delay, wavelength utilization","Synthetic communication-pair traffic in simulated ONoC (no standard benchmark named)","OSNR improved by 1.86–3.30 dB; Wavelength resources saved by 53.26% (Uniform); Waiting delay improved by 6.02% (Transpose); Load balancing decreased by 16.15%.
OSNR increased by 0.76–1.34 dB; Load balancing improved by 14.28%–26.41%; Waiting delay improved up to 19.31%; Wavelength resources saved by up to 52.26%.
Distributed method improves OSNR by 0.37 dB and delay by 0.69% over Centralized; Centralized improves load balancing by 13.84% and wavelength utilization by 4.46%.","Simulation","Increased running time for holistic methods; 16.15% loss of load balancing efficiency.
Long running time due to NN training; potential Single Point of Failure (SPOF) in centralized agents.
Distributed agents only have local information; centralized agents face communication bottlenecks."
"R-171","2D mesh NoC","DQN / RL","Odd-even, DyXY, RCA, GCA, DBAR (heuristic baselines); implied DOR","average packet latency, throughput","Synthetic traffic (Uniform, Shuffle, Transpose, etc.) and PARSEC 2.1","33.3% average packet latency reduction overall; 41.6% under heavy synthetic traffic, 10.5% under PARSEC2.1; lower hardware area overhead than prior RL routing","Mixed","Not discussed by authors in visible text; framework demonstrated only with self-designed system-level feedback message (not generalized to other feedback types)"
"R-174","3D NoC","DQN / RL","LCPT (rule-based), LCPT-Q (table-based Q-learning)","average packet latency, tail (max) latency, energy-delay product (EDP) per flit","synthetic uniform and transpose traffic (Access Noxim simulator, 4×4×4 and 6×6×6 3D mesh)","4×4×4 uniform: peak avg latency 75.41 cycles (40.03%/18.95% reduction vs LCPT/LCPT-Q); peak max latency 1496.4 cycles (56.92%/37.05% reduction); transpose: avg latency 24.67 cycles (85.41%/9.47% reduction), max latency 598.2 cycles (94.86%/32.05% reduction); 6×6×6 uniform: avg latency 49.05 cycles (73.03%/63.38% reduction), max latency 1539.8 cycles (87.96%/81.80% reduction); transpose: avg latency 25.19 cycles (85.49%/77.80% reduction)","Cycle-accurate sim","Not discussed explicitly by authors in visible text; Q-table still requires sparse state-action storage, evaluated only under uniform/transpose traffic"
"R-01","2D mesh NoC","Q-learning","XY routing, DyAD","Average packet latency / throughput","Synthetic CBR traffic generator, 8×8 mesh, NIRGAM simulator","Q-routing avg latency 94.985 cycles/flit vs XY 99.92 and DyAD 98.64; throughput 2.62 Gbps vs XY 2.29 Gbps and DyAD 2.36 Gbps, at equal network power","Cycle-accurate sim","Not discussed by authors; short simulation window (1000 cycles); only one (CBR) traffic pattern tested"
"R-14","3D NoC","Hybrid","TAFT, Advertiser Elevator (state-of-the-art fault-tolerant 3D NoC routing)","fault tolerance / packet delivery rate + average latency","synthetic traffic under 5%-20% fault injection rates (gem5 garnet2.0 simulator)","4x4x4 3D NoC, 5% fault rate: 8.26% latency reduction and 1.32%-5.50% successful-delivery-rate improvement vs Advertiser Elevator; 5.43%-8.26% latency reduction vs TAFT across 5-20% fault rates; Q-table shrunk 70% via K-means with <10% performance loss","Cycle-accurate sim","Authors note performance loss (though <10%) when Q-table is compressed 70%; not evaluated beyond 4x4x4/3x3x3 network sizes"
"R-20","2D mesh NoC","DQN / RL","DOR, O1TURN, Footprint, RL (full Q-table)","average packet latency, area overhead","synthetic (uniform-random, shuffle, transpose, mix) + PARSEC2.1 real applications (11 apps)","Up to 60.4% latency reduction (synthetic, avg) vs traditional routing; 10.5% avg latency reduction under real applications; performance gap vs full RL-based routing <0.3%; area overhead +16.8% vs baseline but 9% less than Footprint, 126.5% less than full RL","Mixed","Authors explicitly state ""still has some inadequacies... susceptible to some parameters, and parameters must be continuously tuned""; future work on parameter optimization and more traffic patterns"
"R-21","2D mesh NoC","Q-learning","QR (Q-routing), BiLCQ, CrQ, DyAD, XY","Average packet latency / NoC energy consumption","Synthetic (bit-reversal, butterfly, transpose, random uniform) + PARSEC benchmark suite, 8×8 mesh (Noxim)","Latency improved up to 18.3% (avg 15.7%/13.3% better than QR/BiLCQ, PARSEC); energy reduced up to 6.7% vs CrQ (3.1% vs QR, 2.3% vs BiLCQ); Q-table area overhead 5.67% (Q-RASP) vs 10.98% (BiLCQ/CrQ)","Mixed","Authors note BiLCQ outperforms Q-RASP under random-uniform traffic due to its reverse-path update mechanism"
"R-25","2D mesh NoC","Q-learning","prior ZMesh fault-tolerant routing technique (Veda Bhanu et al. 2020)","fault tolerance / packet delivery rate","100 random source-destination pairs per topology under varying fault percentages (link and router faults), 5x5/10x10/15x15 ZMesh","FRoZN maintains near-perfect delivery up to 50% faults (5x5) vs baseline declining at 40% and failing by 60%; >10% higher delivery rate than baseline beyond 40% faults; sustained delivery up to 70% faulty links across all tested topology sizes","Simulation","Authors state future work needed to optimize Q-learning parameters and hardware implementation (area/power) not yet evaluated; only single fault type combinations tested per case study"
"R-27","2D mesh NoC","Hybrid","None / self-comparison only (narrative review of prior works)","fault tolerance / packet delivery rate","not applicable (literature survey; cites third-party results, e.g., 8x8 mesh benchmarks from reviewed works)","Reports from reviewed literature: 99.2% fault coverage at 8% power overhead (hardware+ML hybrid); 30% throughput improvement in 8x8 meshes (path-diversity ML); 92% prediction accuracy for thermal faults, 30% latency reduction, 25% fewer retransmissions (ID3 decision tree); 0.5ns decision latency","Analytical model","Explicitly notes ML approaches ""may introduce increased computational complexity"" posing challenges for resource-constrained systems; no original experiments performed by these authors"
"R-30","2D mesh NoC","Q-learning","conventional mesh, static hybrid ring-mesh routing (RSDR)","average packet latency / load balancing","realistic benchmark traffic patterns (not further specified in excerpt)","22.78% average latency reduction vs conventional mesh and static hybrid routing; RSDR alone: 20.34% lower latency vs static routing; 46.7% reduction in central mesh-link load (ideal ring case); 50% bisection bandwidth increase; hardware overhead +276 bytes/router","Mixed","Authors note DQN/actor-critic considered but rejected for hardware cost; Fig.1(b) is an idealized upper-bound (contention-free) rather than steady-state behavior"
